OBJECTID,GB_KEY,GSI_KEY,PROJECT NAME,DEPARTMENT,PURPOSE,FUNDER,INSTALL YEAR,SEWER CLASSIFICATION CODE,CSO BASIN KEY,CSO BASIN NAME,CREEK WATERSHED KEY,CREEK WATERSHED NAME,SOURCE TYPE,SOURCE ID,BEST MANAGED PRACTICE,NUMBER OF BMPS,INFILTRATION SQ FT,IMPERVIOUS MANAGED SQ FT,AVG ANNUAL RUNOFF VOL MANAGED CB FT,AVG ANNUAL RUNOFF VOL MANAGED GLN,GlobalID,x,y
394052,3805,1603,RAINWISE,SPU,RW,SPU,2019,P,,Duwamish,,,PIN,5680000715,CST,,,1538,1453,10872,664dc987-f3da-443a-a948-a18741df2284,1274490.08312586,210506.782859609
394053,3806,1604,RAINWISE,SPU,RW,SPU,2019,P,,Henderson,,,PIN,8067000072,CST,,,2138,2020,15113,fdef8ebf-7859-467a-bd53-dcf58c9a7d48,1288351.43994005,189247.559925839
394054,3807,1605,RAINWISE,SPU,RW,SPU,2019,P,,Henderson,,,PIN,3524049101,CST,,,2364,2234,16710,2d2fd8a8-54ab-4a12-b493-b7d4828e0837,1286629.52013029,196885.179837659
394055,3808,1606,RAINWISE,SPU,RW,SPU,2019,P,,Henderson,,,PIN,1109000135,CST,,,1195,1129,8447,207a1a4e-9852-49b5-a59e-e86fbc5a7e0c,1286049.2598417,199267.308928087
394056,3809,1607,RAINWISE,SPU,RW,SPU,2019,P,,Genesee,,,PIN,1604601600,CST,,,1756,1659,12412,14a3fa63-7fa5-44b8-8895-feb7ffbc35cc,1280965.9199325,210148.099851236
394057,3810,1608,RAINWISE,SPU,RW,SPU,2019,P,,North Union Bay,,,PIN,0431000100,CST,,,916,866,6475,072a8d2c-2af7-481e-94c6-0404baffb033,1281973.79487753,250409.819828466
394058,3811,1609,RAINWISE,SPU,RW,SPU,2019,P,,North Union Bay,,,PIN,6392003295,CST,,,626,592,4425,642c7c3a-ca73-4519-84f7-3647e2e69cd3,1283768.66303936,253356.988151476
394059,3812,1610,RAINWISE,SPU,RW,SPU,2019,P,,Henderson,,,PIN,7701400065,RGN,,,1696,3490,26108,e96d8e56-0668-4481-b8e9-5fd27acc83b9,1285881.35008153,197127.050109908
394060,3813,1611,RAINWISE,SPU,RW,SPU,2019,P,,Henderson,,,PIN,8835400135,CST,,,1358,1309,9792,dda0d579-2bd0-41af-9029-f7eb8c26d0b7,1288296.049988,203594.650052518
394061,3814,1612,RAINWISE,SPU,RW,SPU,2019,P,,Leschi,,,PIN,3416600465,CST,,,1126,1064,7959,5e302725-9d95-421f-8fef-f40e754fad98,1280638.08204415,222522.168919906
394062,3815,1613,RAINWISE,SPU,RW,SPU,2019,P,,Fremont,,,PIN,1930301535,CST,,,1260,1191,8906,eeca622a-a7e7-4966-b40d-5144c15e1c59,1265628.73111679,243033.223020911
394063,3817,1614,RAINWISE,SPU,RW,SPU,2019,C,,Ballard,,,PIN,4443801520,CST,,,708,669,5005,7c205505-12f1-4b4c-bf6e-d54d85d6fae7,1257262.50307623,253436.028983563
394064,3816,1614,RAINWISE,SPU,RW,SPU,2019,C,,Ballard,,,PIN,4443801520,CRG,,,1992,3225,24121,d9803e01-d973-4c7c-bd06-411f11e50476,1257262.50307623,253436.028983563
394065,3818,1615,RAINWISE,SPU,RW,SPU,2019,P,,North Union Bay,,,PIN,0431500345,CST,,,1900,1796,13430,28226303-21f4-4a70-8bd1-1421707ab3bd,1284022.71897562,252142.136886239
394066,3819,1616,RAINWISE,SPU,RW,SPU,2019,C,,Ballard,,,PIN,7518501600,CST,,,689,651,4870,15e7db3e-ffd9-4b81-89bd-f6ac4ca7145b,1259892.40202291,251192.84715727
