OBJECTID,GEOID20,Gross Acres,Land Acres,Water Acres,Tract Name,Tract,Tract Label,Urban Village Demographic Area,Community Reporting Area ID,Community Reporting Area Group,Community Reporting Area Name,Community Reporting Area Neighborhoods,Council District (2024)
1,53033000402,444.493642659107,444.527260989408,0,Census Tract 4.02,402,4.02,Bitter Lake Village,9.1,9,Broadview/Bitter Lake,"Broadview, Bitter Lake",5
2,53033000403,180.930715888193,165.408388766113,15.5357624474357,Census Tract 4.03,403,4.03,Bitter Lake Village,9.1,9,Broadview/Bitter Lake,"Broadview, Bitter Lake",5
3,53033000700,319.838995974031,319.86259596529,0,Census Tract 7,700,7,Lake City,8.2,8,Olympic Hills/Victory Heights,"Lake City, Victory Heights, Olympic Hills, Pinehurst, Jackson Park",5
4,53033003302,154.942825725466,154.952618753892,0,Census Tract 33.02,3302,33.02,Ballard,10.2,10,Whittier Heights,"Whittier Heights, Loyal Heights, Crown Hill",6
5,53033003601,166.571396799305,166.583374855686,0,Census Tract 36.01,3601,36.01,Green Lake - Roosevelt,9.4,9,Green Lake,"Green Lake, Meridian, Roosevelt, Woodland Park",6
6,53033004202,301.690447314343,301.709987526565,0,Census Tract 42.02,4202,42.02,Outside - Northeast,7.3,7,Ravenna/Bryant,"Ravenna, Bryant, Roosevelt, View Ridge, Hawthorne Hills, Windermere, University District",4
7,53033004701,138.567580493614,141.194285316404,43.7168956935715,Census Tract 47.01,4701,47.01,Ballard,10.4,10,Ballard,"Ballard, West Woodland, Adams",6
8,53033005304,18.045086178939,18.0461060192494,0,Census Tract 53.04,5304,53.04,University District,7.2,7,University District,"University District, Cowen Park, Ravenna",4
9,53033005307,32.1285785535983,32.131112771231,0,Census Tract 53.07,5307,53.07,University District,7.2,7,University District,"University District, Cowen Park, Ravenna",4
10,53033005902,252.768729392632,252.782874861669,0,Census Tract 59.02,5902,59.02,Outside - West,12.3,12,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",7
11,53033006300,617.681268251869,645.085648973926,873.161692254948,Census Tract 63,6300,63,Outside - East,6.5,6,Madison Park,"Madison Park, Broadmoor, Washington Park, Harrison/Denny-Blaine",3
12,53033006600,255.027878821901,274.240764884858,207.181800633293,Census Tract 66,6600,66,Eastlake,11.3,11,Cascade/Eastlake,"South Lake Union, Eastlake, Cascade, Denny Triangle",3
13,53033007502,78.0645076481942,78.0682503186016,0,Census Tract 75.02,7502,75.02,First Hill - Capitol Hill,6.2,6,Capitol Hill,"Capitol Hill, Pike/Pine, Broadway, First Hill",3
14,53033007800,511.444112636284,518.362843226348,897.712600339797,Census Tract 78,7800,78,Outside - East,5.1,5,Madrona/Leschi,"Madrona, Leschi, Harrison/Denny-Blaine",3
15,53033007901,66.0304866117975,66.0342182340138,0,Census Tract 79.01,7901,79.01,Central Area,5.3,5,Central Area/Squire Park,"Central Area, Mann, Minor, Squire Park",3
16,53033008102,137.46069982882,137.564801471261,22.5409529108028,Census Tract 81.02,8102,81.02,Center City,13.2,13,Downtown Commercial Core,"Downtown Commercial Core, West Edge, Central Business District, Pike Place Market, Pioneer Square",7
17,53033008402,35.9389681624052,35.9404893341879,0,Census Tract 84.02,8402,84.02,First Hill - Capitol Hill,6.2,6,Capitol Hill,"Capitol Hill, Pike/Pine, Broadway, First Hill",3
18,53033008600,175.771028448185,175.778413210914,0,Census Tract 86,8600,86,First Hill - Capitol Hill,6.1,6,First Hill,"First Hill, Yesler Terrace, Squire Park",2
19,53033009701,442.862569074907,459.951578909736,397.128742215174,Census Tract 97.01,9701,97.01,Outside - West Seattle,1.4,1,Alki/Admiral,"Alki, Admiral",1
20,53033010602,354.957037359046,371.908672756915,201.918208899539,Census Tract 106.02,10602,106.02,Morgan Junction,1.2,1,Fauntleroy/Seaview,"Fauntleroy, Gatewood, Morgan Junction, Lincoln Park, Seaview, Fairmount Park",1
21,53033010701,361.024398934,360.127429477718,0.90539411823264,Census Tract 107.01,10701,107.01,Outside - Delridge,2.2,2,High Point,"High Point, Delridge",1
22,53033011002,424.904371481427,424.914753956109,0,Census Tract 110.02,11002,110.02,Othello,3.4,3,South Beacon Hill/NewHolly,"South Beacon Hill, NewHolly, Holly Park",2
23,53033011402,293.108718573034,293.114179721751,0,Census Tract 114.02,11402,114.02,Westwood-Highland Park,2.4,2,Roxhill/Westwood,"Roxhill, Westwood, South Delridge, White Center",1
25,53033001201,249.123467267854,249.141529958209,0,Census Tract 12.01,1201,12.01,Northgate,8.1,8,Northgate/Maple Leaf,"Maple Leaf, Northgate, Pinehurst",5
26,53033001800,233.765875573085,233.782694964009,0,Census Tract 18,1800,18,Aurora-Licton Springs,9.2,9,Licton Springs,Licton Springs,5
27,53033002900,243.681098411602,243.697551295877,0,Census Tract 29,2900,29,Greenwood - Phinney Ridge,9.3,9,Greenwood/Phinney Ridge,"Greenwood, Phinney Ridge, Woodland Park, Crown Hill",6
28,53033003202,236.220782776271,236.236698508814,0,Census Tract 32.02,3202,32.02,Ballard,10.3,10,Sunset Hill/Loyal Heights,"Sunset Hill, Golden Gardens, Loyal Heights, Shilshole",6
